,YEAR,JOB_TITLE,BRANCH,JOB_LOCATION,LOC_STATE,LOC_REGION
0,2012,Manufacturing engineer,MEC,Patna,Bihar,Central
1,2016,AI engineer,CSE/IT,Madurai,Tamil Nadu,South
2,2017,Environmental waste management,CHEM,Raipur,Chattisgarh,Central
3,2018,Land surveyor,CIV,Udaipur,Rajasthan,West
4,2013,AI engineer,CSE/IT,Bhopal,Madhya Pradesh,Central
5,2021,Product designer,MEC,Shillong,Seven Sisters,East
6,2011,Construction engineer,MEC,Raipur,Chattisgarh,Central
7,2015,Process safety engineer,CHEM,Haridwar,Uttarakhand,North
8,2016,Transportation engineer,CIV,Pune,Maharashtra,Central
9,2011,Software analyst,ECE,Srinagar,Jammu and Kashmir,North
10,2012,Network planning engineer,ECE,Allahabad,Uttar Pradesh,North
11,2017,Manufacturing engineer,MEC,Aizawal,Seven Sisters,East
12,2020,Process design engineer,CHEM,Gwalior,Madhya Pradesh,Central
13,2011,Embedded system engineer,ECE,Ranchi,Jharkhnad,Central
14,2014,Software analyst,ECE,Mumbai,Maharashtra,Central
15,2014,Web developer,CSE/IT,Bilaspur,Himachal Pradesh,North
16,2019,Thermal engineer,MEC,Kanpur,Uttar Pradesh,North
17,2016,AI engineer,CSE/IT,Jodhpur,Rajasthan,West
18,2014,Chemical plant director,CHEM,Dhanbad,Jharkhnad,Central
19,2013,System architect,CSE/IT,Aizawal,Seven Sisters,East
20,2012,Automation engineer,MEC,Itanagar,Seven Sisters,East
21,2013,Network planning engineer,ECE,Gaya,Bihar,Central
22,2020,Service engineer,ECE,Jammu,Jammu and Kashmir,North
23,2015,Systems engineer,EEE,Mumbai,Maharashtra,Central
24,2018,Environmental waste management,CHEM,Vellore,Tamil Nadu,South
25,2011,Substation technician,EEE,Jalandhar,Punjab,North
26,2021,Electronics engineer,ECE,Visakhapatnam,Andhra Pradesh,South
27,2021,Software analyst,ECE,Vadodara,Gujarat,West
28,2011,AI engineer,CSE/IT,Khammam,Telangana,South
29,2017,Hardware engineer,EEE,Mumbai,Maharashtra,Central
30,2014,Embedded system engineer,ECE,Kolkata,West Bengal,East
31,2016,AI engineer,CSE/IT,Gandhinagar,Gujarat,West
32,2015,Telecom engineer,ECE,Vellore,Tamil Nadu,South
33,2013,Controls engineer,EEE,Lucknow,Uttar Pradesh,North
34,2018,Electrical design engineer,EEE,Allahabad,Uttar Pradesh,North
