,YEAR,JOB_TITLE,JOB_LOCATION
0,2015,Field test engineer,Gaya
1,2018,Electrical project manager,Jamshedpur
2,2020,Management consultant,Surat
3,2013,Database administrator,Thiruvananthapuram
4,2016,Controls engineer,Allahabad
5,2021,UX designer,Udaipur
6,2018,Communication engineer,Jaipur
7,2011,Environmental waste management,Patna
8,2016,Electrical project manager,Dharwad
9,2021,Public health engineer,Shillong
10,2017,Software developer,Dharwad
11,2012,Software analyst,Dehradun
12,2018,Quality engineer,Nellore
13,2021,Web developer,Bhubaneswar
14,2016,Network planning engineer,Durgapur
15,2019,Network planning engineer,Khammam
16,2018,Electrical engineer,Patna
17,2014,Manufacturing engineer,Jammu
18,2012,Embedded system engineer,Visakhapatnam
19,2016,Thermal engineer,Bhubaneswar
20,2011,Architect,Guwahati
21,2013,Substation technician,Dehradun
22,2017,Instrumentation engineer,Bhopal
23,2013,Broadcast engineer,Rourkela
24,2014,Thermal engineer,Indore
25,2021,Telecom engineer,Gwalior
26,2020,Material engineer,Warangal
27,2013,Land surveyor,Rourkela
28,2014,Hardware engineer,Jammu
29,2017,Telecommunication engineer,Bilaspur
30,2018,Construction manager,Jamshedpur
31,2018,Plant process engineer,Ranchi
32,2018,Database administrator,Jamshedpur
33,2013,Chemical engineer,Bengaluru
34,2012,IT project manager,Mysore
35,2018,Land surveyor,Kanpur
36,2020,Construction engineer,Indore
37,2014,Computer network architect,Vijayawada
38,2017,Construction manager,Warangal
39,2020,Electrical design engineer,Tirupathi
40,2013,Web developer,Silchar
41,2021,Controls engineer,Kanpur
42,2011,Service engineer,Srinagar
43,2014,Manufacturing engineer,Allahabad
44,2020,Urban planning engineer,Bhubaneswar
45,2012,Petroleum engineer,Shillong
46,2013,Broadcast engineer,Bengaluru
47,2017,Systems engineer,Raipur
48,2017,Electrical design engineer,Bhopal
49,2018,Chemical plant director,Howrah
50,2013,Plant process engineer,Shimla
51,2014,Chemical engineer,Gaya
52,2021,Chemical plant director,Nagpur
53,2020,Architect,Surat
54,2015,Information security analyst,Gandhinagar
55,2016,Process safety engineer,Hyderabad
56,2021,Chemical plant director,Dehradun
57,2016,Embedded system engineer,Chennai
58,2013,Construction engineer,Jamshedpur
59,2011,Software developer,Gwalior
60,2016,Aerospace engineer,Panaji
61,2012,Electrical design engineer,Jamshedpur
62,2015,Geotechnical engineer,Thiruvananthapuram
63,2012,Public health engineer,Dispur
64,2012,Land surveyor,Dehradun
65,2013,Substation technician,Kolkata
66,2017,Electrical engineer,Khammam
67,2017,AI engineer,Ranchi
68,2015,Urban planning engineer,Allahabad
69,2021,Service engineer,Chandigarh
70,2012,Microelectrical engineer,Pune
71,2012,Urban planning engineer,Ranchi
72,2013,Petroleum engineer,Kolkata
73,2011,Field test engineer,Panipat
74,2017,Thermal engineer,Panipat
75,2011,UX designer,Tirupathi
76,2020,Construction engineer,Panipat
77,2019,Process design engineer,Chandigarh
78,2013,Software analyst,Lucknow
79,2021,Geotechnical engineer,Hyderabad
80,2018,Land surveyor,Amritsar
81,2021,Telecommunication engineer,Aizawal
82,2015,Management consultant,Raigarh
83,2014,Management consultant,Jalandhar
84,2015,Database administrator,Ranchi
85,2019,Architect,Udaipur
86,2013,Telecommunication engineer,Dhanbad
87,2019,Drafter,Gurgaon
88,2015,Geotechnical engineer,Allahabad
89,2011,Public health engineer,Lucknow
90,2012,Public health engineer,Imphal
91,2015,Production engineer,Jaipur
92,2018,Urban planning engineer,Noida
93,2021,Engineering management,Kochi
94,2011,Construction manager,Ahmedabad
95,2016,Production engineer,Dispur
96,2013,Thermal engineer,Raigarh
97,2021,Electronics engineer,Durgapur
98,2012,IT project manager,Hyderabad
99,2011,AI engineer,Vadodara
100,2021,Plant process engineer,Vellore
101,2020,Environmental waste management,Rourkela
102,2021,Transportation engineer,Silchar
103,2014,Controls engineer,Nellore
104,2021,Construction engineer,Khammam
105,2011,Engineering management,Chennai
106,2011,Electrical project manager,Rourkela
107,2013,Urban planning engineer,Nagpur
108,2012,Computer network architect,Aizawal
109,2020,Structural engineer,Puri
110,2014,Electrical project manager,Bhubaneswar
111,2013,Drafter,Warangal
112,2017,Architect,Aizawal
113,2015,Product engineer,Dharwad
114,2017,Computer network architect,Patna
115,2012,Controls engineer,Jamshedpur
116,2016,Petroleum engineer,Jodhpur
117,2013,Chemical plant director,Udaipur
118,2021,technician,Kohina
119,2017,Software developer,Dispur
120,2011,Telecom engineer,Lucknow
121,2021,Database administrator,Tirupathi
122,2016,Systems engineer,Haridwar
123,2017,Electrical project manager,Dharwad
124,2018,Aerospace engineer,Kanpur
125,2016,Construction engineer,Raigarh
126,2016,Geotechnical engineer,Patna
127,2015,Controls engineer,Udaipur
128,2014,Environmental engineer,Warangal
129,2013,Substation technician,Roorkee
130,2021,Information security analyst,Silchar
131,2019,Broadcast engineer,Durgapur
132,2013,Field test engineer,Lucknow
133,2011,Web developer,Ahmedabad
134,2011,Transportation engineer,Khammam
135,2016,Computer network architect,Mysore
136,2019,Software developer,Jamshedpur
137,2015,Production engineer,Shimla
138,2012,Embedded system engineer,Khammam
139,2011,App developer,Haridwar
140,2012,Construction manager,Indore
141,2014,Electrical project manager,Surat
142,2014,technician,Gangtok
143,2016,Management consultant,Jalandhar
144,2021,Land surveyor,Tirupathi
145,2012,Instrumentation engineer,Itanagar
146,2013,Drafter,Dhanbad
147,2012,Aerospace engineer,Raipur
148,2012,App developer,Puri
149,2020,Automation engineer,Dehradun
150,2016,Product designer,Warangal
151,2014,Instrumentation engineer,Kochi
152,2014,Electronics engineer,Kohina
153,2016,Land surveyor,Raipur
154,2016,Land surveyor,Gandhinagar
155,2015,Telecommunication engineer,Nagpur
156,2018,Database administrator,Hyderabad
157,2016,Web developer,Bengaluru
158,2018,System architect,Raipur
159,2013,Instrumentation engineer,Allahabad
160,2011,Electrical engineer,Mysore
161,2015,Construction engineer,Udaipur
162,2017,Telecom engineer,Dehradun
163,2020,Controls engineer,Jodhpur
164,2020,System architect,Kohina
165,2017,Management consultant,Vijayawada
166,2013,Transportation engineer,Srinagar
167,2020,Product designer,Dharwad
168,2018,Thermal engineer,Allahabad
169,2012,IT project manager,Tirupathi
170,2018,Service engineer,Noida
171,2013,Controls engineer,Roorkee
172,2013,IT project manager,Nagpur
173,2021,Web developer,Visakhapatnam
174,2020,IT project manager,Chennai
175,2020,Environmental engineer,Tirupathi
176,2013,Drafter,Panaji
177,2020,AI engineer,Vellore
178,2014,Electrical engineer,Mumbai
179,2016,Communication engineer,Imphal
180,2016,Public health engineer,Jodhpur
181,2020,AI engineer,Ahmedabad
182,2017,Product engineer,Udaipur
183,2019,Material engineer,Indore
184,2012,Chemical engineer,Silchar
185,2016,System architect,Roorkee
186,2020,Electrical engineer,Dispur
187,2019,Manufacturing engineer,Jammu
188,2019,IT project manager,Vellore
189,2020,Electronics design engineer,Jaipur
190,2013,Chemical plant director,Pune
191,2019,Controls engineer,Roorkee
192,2011,Process design engineer,Tirupathi
193,2011,Substation technician,Howrah
194,2013,Information security analyst,Udaipur
195,2014,Field test engineer,Khammam
196,2014,Hardware engineer,Vellore
197,2020,Engineering management,Gangtok
198,2018,Field test engineer,Bengaluru
199,2015,Structural engineer,Shimla
200,2015,Manufacturing engineer,Silchar
201,2015,Petroleum engineer,Kanpur
202,2021,Database administrator,Kolkata
203,2018,Process design engineer,Gwalior
204,2019,Microelectrical engineer,Raigarh
205,2013,Field test engineer,Bengaluru
206,2016,Construction manager,Kolkata
207,2020,Microelectrical engineer,Jalandhar
208,2020,Chemical engineer,Jalandhar
209,2014,Quality engineer,Jammu
210,2016,Electrical design engineer,Mumbai
211,2011,Quality engineer,Chennai
212,2018,Construction engineer,Howrah
213,2011,Field test engineer,Nagpur
214,2016,Plant process engineer,Roorkee
215,2014,Instrumentation engineer,Panaji
216,2019,Environmental waste management,Silchar
217,2021,Process design engineer,Vadodara
218,2014,AI engineer,Jaipur
219,2020,Software developer,Bhubaneswar
220,2018,Microelectrical engineer,Pune
